song_id,playlist
China Grove The Doobie Brothers,70s Rock Anthems
Foreplay / Long Time Boston,70s Rock Anthems
Come Sail Away Styx,70s Rock Anthems
Give A Little Bit Supertramp,70s Rock Anthems
Doctor My Eyes Jackson Browne,70s Rock Anthems
Feel Like Makin' Love - 2015 Remastered Version Bad Company,70s Rock Anthems
Do You Feel Like We Do Peter Frampton,70s Rock Anthems
L.A. Woman The Doors,70s Rock Anthems
The Lamb Lies Down On Broadway (Platinum Collection Version) Genesis,70s Rock Anthems
Knockin' On Heaven's Door - Remastered Bob Dylan,70s Rock Anthems
Deacon Blues Steely Dan,70s Rock Anthems
Life In The Fast Lane - Remastered Eagles,70s Rock Anthems
Life's Been Good Joe Walsh,70s Rock Anthems
Locomotive Breath Jethro Tull,70s Rock Anthems
Like A Hurricane Neil Young,70s Rock Anthems
Livin' Thing Electric Light Orchestra,70s Rock Anthems
Paradise By the Dashboard Light Meat Loaf,70s Rock Anthems
Paradise City Guns N' Roses,80s Hard Rock
Panama - 2015 Remastered Version Van Halen,80s Hard Rock
Rock You Like A Hurricane Scorpions,80s Hard Rock
Dr. Feelgood Mötley Crüe,80s Hard Rock
Pour Some Sugar On Me - Remastered 2017 Def Leppard,80s Hard Rock
