song_id,song_name,artist_name,song_single,song_released,song_genre,song_label,song_songwriter,song_producer
Lorelei Cocteau Twins,Lorelei,Cocteau Twins,0,1984,pop,4ad,NA,cocteau twins
From Her to Eternity - 2009 Remastered Version Nick Cave & The Bad Seeds,From Her to Eternity - 2009 Remastered Version,Nick Cave & The Bad Seeds,0,1984,"rock,punk",mute,NA,"flood, nick cave and the bad seeds"
To Hell With Poverty Gang Of Four,To Hell With Poverty,Gang Of Four,0,1990,"rock,punk",warner bros.,NA,NA
Allez Allez - Original Mix Allez Allez,Allez Allez - Original Mix,Allez Allez,NA,NA,pop,NA,NA,NA
"God O.D., Pt.1 Meat Beat Manifesto","God O.D., Pt.1",Meat Beat Manifesto,0,1989,elect,"sweatbox,wax trax!",NA,jack dangers
"Hungry, So Angry Medium Medium","Hungry, So Angry",Medium Medium,NA,NA,punk,cherry red records,NA,NA
Din Daa Daa - Original US Mix George Kranz,Din Daa Daa - Original US Mix,George Kranz,1,1983,other,"pool,personal",george kranz,"christopher franke,george kranz"
Collapsing New People Fad Gadget,Collapsing New People,Fad Gadget,NA,NA,"punk,pop",mute,NA,NA
Sex Beat The Gun Club,Sex Beat,The Gun Club,0,1981,"rock,punk,blues",ruby,NA,"chris d., tito larriva"
Optimo Liquid Liquid,Optimo,Liquid Liquid,NA,NA,punk,"99, mo' wax",NA,NA
"""40"" - Live Version 1983 U2","""40"" - Live Version 1983",U2,1,1983,"rock,punk",island,u2,steve lillywhite
Zanna (feat. Anna Domino) - 2005 Remastered Version Luc Van Acker,Zanna (feat. Anna Domino) - 2005 Remastered Version,Luc Van Acker,1,2011,pop,because music,anna dominoluc van acker,jeroen de pessemier
Deus The Sugarcubes,Deus,The Sugarcubes,0,1998,"alt,rock","one little indian,elektra,polydor,mother",NA,NA
Mellow Blues Sonny Thompson & Lula Reed,Mellow Blues,Sonny Thompson & Lula Reed,NA,NA,NA,NA,NA,NA
Hello Central (Give Me Central) Lightnin' Hopkins,Hello Central (Give Me Central),Lightnin' Hopkins,0,1960,blues,timet/70004,NA,bob shad
Booted Rosco Gordon,Booted,Rosco Gordon,NA,NA,blues,"sun,chess,rpm,duke,vee-jay",NA,NA
Soft Tiny Bradshaw,Soft,Tiny Bradshaw,NA,NA,"jazz,blues",NA,NA,NA
Safronia B Calvin Boze,Safronia B,Calvin Boze,NA,NA,NA,NA,NA,NA
Best Wishes Roy Milton,Best Wishes,Roy Milton,NA,NA,"r&b,blues","specialty, warwick, kent, black and blue",NA,NA
Mary Lou Young Jessie,Mary Lou,Young Jessie,NA,NA,"rock,r&b,jazz,blues","modern, atco, capitol, mercury, jazz family",NA,NA
Sexy Ways The Midnighters,Sexy Ways,The Midnighters,NA,NA,"rock,r&b","federal, king, people",NA,NA
Grandpa Can Boogie Too Lil Greenwood,Grandpa Can Boogie Too,Lil Greenwood,NA,NA,NA,NA,NA,NA
"Hey, Miss Fannie - 2007 Remastered Version The Clovers","Hey, Miss Fannie - 2007 Remastered Version",The Clovers,1,1964,jazz,capitol,"bert kaempfert,milt gabler",lee gillette
Thinking And Drinking Amos Milburn,Thinking And Drinking,Amos Milburn,NA,NA,blues,aladdin,NA,NA
Deacon Rides Again Big Jay McNeely,Deacon Rides Again,Big Jay McNeely,NA,NA,"jazz,blues","cleopatra blues, a division of cleopatra recordsswingin' records",NA,NA
Sh-Boom - Single Version The Chords,Sh-Boom - Single Version,The Chords,1,1954,"pop,blues",cat records,"james keyes, claude feaster & carl feaster, floyd f. mcrae, and william edwards",NA
Kansas City Wilbert Harrison,Kansas City,Wilbert Harrison,NA,NA,blues,"savoy records, sue records, fury, sphere sound, juggernaut, chelsea",NA,NA
Well All Right Big Joe Turner,Well All Right,Big Joe Turner,NA,NA,"r&b,blues","atlantic, london, national, vocalion, decca, pablo, rhino",NA,NA
"Easy, Easy Baby Varetta Dillard","Easy, Easy Baby",Varetta Dillard,NA,NA,r&b,savoygroovercatriumphclub,NA,NA
I Don't Know Willie Mabon,I Don't Know,Willie Mabon,1,1952,blues,"chess,parrot",willie mabon,NA
The One I Love Ray Agee,The One I Love,Ray Agee,NA,NA,"r&b,blues","r.k., modern, aladdin, elko, spark, ebb, shirley, celeste, soultown, jewel, krafton, white enterprises",NA,NA
Hurts Me To My Heart Faye Adams,Hurts Me To My Heart,Faye Adams,1,1954,r&b,herald records,"rose marie mccoy,charles singleton",NA
Lovin' Machine - Remastered Wynonie Harris,Lovin' Machine - Remastered,Wynonie Harris,NA,NA,"rock,blues",NA,NA,NA
Upstairs Boogie Lil Son Jackson,Upstairs Boogie,Lil Son Jackson,NA,NA,blues,"gold star,imperial,arhoolie",NA,NA
Bip Bam The Drifters,Bip Bam,The Drifters,NA,NA,"pop,r&b","atlantic, bell, neon",NA,NA
I Wanna Know The Du Droppers,I Wanna Know,The Du Droppers,NA,NA,r&b,"red robin,rca",NA,NA
5-10-15 Hours Ruth Brown,5-10-15 Hours,Ruth Brown,0,1952,r&b,"atlantic, philips, fantasy",rudy toombs,NA
The Storm (01-16-52) Esther Phillips,The Storm (01-16-52),Esther Phillips,NA,NA,"pop,r&b,jazz,blues,country","atlantic, kudu, mercury, lenox",NA,NA
Port Of Rico Illinois Jacquet,Port Of Rico,Illinois Jacquet,NA,NA,blues,"apollo, savoy, aladdin, rca, verve, mercury, roulette, epic, argo, prestige, black lion, black & blue, atlantic",NA,NA
Don't Be Angry Nappy Brown,Don't Be Angry,Nappy Brown,1,1955,"r&b,blues",mercury,"nappy brown, rose marie mccoy, fred mendelsohn",NA
I Don't Hurt Anymore Dinah Washington,I Don't Hurt Anymore,Dinah Washington,1,1990,country,rca,don robertsonjack rollins,steve berlin
How Many More Years Howlin' Wolf,How Many More Years,Howlin' Wolf,1,1951,blues,chess,chester burnett a.k.a. howlin' wolf ,sam phillips
Lawdy Miss Clawdy Lloyd Price,Lawdy Miss Clawdy,Lloyd Price,1,1952,"rock,blues",specialty,lloyd price,dave bartholomew
Pink Champagne - Single Version Joe Liggins & The Honeydrippers,Pink Champagne - Single Version,Joe Liggins & The Honeydrippers,0,1950,NA,NA,NA,NA
All Night Baby The Robins,All Night Baby,The Robins,NA,NA,r&b,sparkwhippetrca,NA,NA
Good Rockin' Daddy Etta James,Good Rockin' Daddy,Etta James,0,2005,"r&b,jazz,blues",ace,NA,NA
Hound Dog Big Mama Thornton,Hound Dog,Big Mama Thornton,1,1953,blues,peacock,jerry leiber and mike stoller,johnny otis
Castle Rock Johnny Hodges,Castle Rock,Johnny Hodges,0,1955,jazz,norgran mgn 1048,NA,norman granz
